,loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,repay_fail,credit_age_yrs
43,10000,36 months,14.11,1 year,RENT,45000,Not Verified,Mar-09,debt_consolidation,905xx,CA,7.95,0,Oct-02,0,7,0,11816,0.476,10,0,6.436813187
44,20050,36 months,10.59,9 years,MORTGAGE,76000,Verified,May-11,debt_consolidation,956xx,CA,20.21,0,Jan-97,0,8,0,29303,0.603,15,0,14.37637363
45,25000,60 months,12.61,< 1 year,RENT,65000,Verified,Oct-10,debt_consolidation,117xx,NY,24.57,0,Oct-02,3,17,0,5277,0.207,28,0,8.027472527
46,7000,36 months,11.49,2 years,RENT,72000,Not Verified,Sep-11,credit_card,951xx,CA,18.3,0,Sep-99,3,17,0,15260,0.615,37,0,12.04120879
47,5000,36 months,5.42,2 years,MORTGAGE,1.00E+05,Not Verified,Jun-11,debt_consolidation,100xx,NY,5.9,0,Jul-83,0,11,0,5207,0.117,26,0,28.01373626
48,12325,36 months,18.36,10+ years,MORTGAGE,54000,Not Verified,Feb-08,debt_consolidation,897xx,NV,14.82,2,Dec-91,3,22,0,8079,0.454,48,0,16.22527473
49,8000,36 months,13.61,8 years,MORTGAGE,58000,Source Verified,Jul-10,credit_card,430xx,OH,22.49,1,Nov-97,3,17,0,6637,0.24,25,0,12.70604396
50,35000,60 months,21.74,n/a,MORTGAGE,73000,Verified,May-11,small_business,430xx,OH,17.44,3,Nov-95,1,8,0,19505,0.975,26,1,15.54945055
51,8500,36 months,10.62,2 years,RENT,45000,Not Verified,Mar-10,debt_consolidation,410xx,KY,2.01,0,Sep-98,1,12,0,7011,0.48,35,0,11.53571429
52,10000,60 months,10.75,5 years,MORTGAGE,75000,Not Verified,Jun-10,major_purchase,619xx,IL,7.97,0,Jul-91,3,10,0,11471,0.166,39,0,18.98351648
53,12000,36 months,12.73,4 years,OWN,31000,Not Verified,May-10,debt_consolidation,238xx,VA,16.57,0,Sep-04,0,5,0,12561,0.539,5,0,5.681318681
54,19250,60 months,14.79,8 years,MORTGAGE,65004,Verified,Jun-11,debt_consolidation,208xx,MD,8.79,0,Nov-99,1,6,0,17606,0.707,16,0,11.62087912
55,11000,60 months,10.37,10+ years,MORTGAGE,48000,Verified,May-11,car,432xx,OH,21.38,0,Oct-96,0,5,0,2598,0.426,16,0,14.62912088
56,6000,36 months,14.54,2 years,RENT,41196,Verified,Jan-11,credit_card,030xx,NH,23.24,0,Feb-05,1,11,0,4755,0.951,18,0,5.934065934
57,16000,36 months,10.99,< 1 year,OWN,52000,Verified,Jul-11,debt_consolidation,457xx,OH,24,0,Aug-00,1,17,0,16582,0.427,43,0,10.95054945
58,8000,36 months,7.66,< 1 year,RENT,19200,Source Verified,Mar-11,major_purchase,067xx,CT,1.25,0,Dec-99,0,3,0,351,0.121,4,0,11.28571429
59,30000,60 months,11.71,3 years,MORTGAGE,82000,Source Verified,Oct-11,other,921xx,CA,0.22,0,Apr-94,0,6,0,518,0.025,14,1,17.56043956
60,3500,36 months,5.42,5 years,RENT,60000,Not Verified,Nov-10,small_business,945xx,CA,14.1,0,Jan-96,0,8,0,809,0.069,16,0,14.88461538
61,6400,36 months,7.14,6 years,MORTGAGE,67807,Not Verified,Apr-10,home_improvement,774xx,TX,9.43,0,Nov-93,0,5,0,1113,0.086,20,0,16.46978022
62,13800,36 months,7.66,2 years,RENT,105000,Source Verified,Feb-11,debt_consolidation,983xx,WA,21.15,0,Mar-00,2,10,0,8783,0.384,20,0,10.95879121
63,15000,36 months,17.99,2 years,MORTGAGE,63830,Verified,Jul-11,debt_consolidation,750xx,TX,21.04,0,Sep-97,3,13,0,5613,0.585,25,0,13.87637363
64,1275,36 months,15.23,2 years,OWN,20400,Verified,Jul-11,debt_consolidation,953xx,CA,24.59,0,May-98,2,7,0,6032,0.574,7,0,13.21153846
65,6500,36 months,14.72,1 year,RENT,40000,Source Verified,Aug-10,car,113xx,NY,0.93,0,Jul-06,4,4,0,942,0.314,8,0,4.098901099
66,1800,36 months,5.42,n/a,OWN,29184,Not Verified,Oct-10,small_business,480xx,MI,23.68,0,Mar-74,2,7,0,30037,0.235,24,0,36.71153846
67,11200,60 months,22.06,7 years,RENT,75000,Verified,Nov-11,other,111xx,NY,22.9,0,Feb-02,0,28,0,12249,0.528,57,0,9.78021978
68,25000,60 months,12.99,7 years,MORTGAGE,60106,Verified,Jun-11,debt_consolidation,275xx,NC,25.18,0,Jan-98,0,18,0,30218,0.396,31,0,13.45879121
69,13000,36 months,12.53,10+ years,MORTGAGE,264000,Verified,Oct-09,credit_card,030xx,NH,10.06,0,Sep-86,1,15,0,229908,0.772,34,0,23.16208791
70,20000,36 months,13.79,10+ years,MORTGAGE,120000,Verified,Jul-09,debt_consolidation,981xx,WA,15,2,Jul-88,1,21,0,24911,0.272,41,0,21.07142857
71,10000,36 months,5.42,10+ years,RENT,28000,Not Verified,Jul-11,debt_consolidation,604xx,IL,12.69,0,Sep-87,0,13,0,13349,0.388,35,0,23.91208791
72,5000,36 months,8.7,10+ years,RENT,48000,Not Verified,Dec-07,major_purchase,070xx,NJ,0.38,1,Jul-72,2,7,0,498,0.073,25,0,35.53846154
73,2000,36 months,8.49,< 1 year,RENT,22800,Source Verified,Aug-11,car,571xx,SD,3.16,0,Dec-06,3,7,0,1139,0.175,18,0,4.681318681
74,10000,36 months,15.27,< 1 year,RENT,64000,Verified,Dec-11,debt_consolidation,208xx,MD,3.64,0,Feb-02,3,3,1,6565,0.691,10,0,9.862637363
75,2400,36 months,10.46,2 years,MORTGAGE,27000,Not Verified,Jan-08,major_purchase,201xx,VA,19.29,0,Sep-06,2,3,0,1364,0.341,4,0,1.337912088
76,10000,36 months,7.29,5 years,RENT,99000,Not Verified,Apr-11,wedding,112xx,NY,2.25,0,Jan-84,0,4,0,1540,0.453,11,0,27.34065934
77,14825,36 months,12.69,8 years,MORTGAGE,75000,Verified,Oct-11,debt_consolidation,925xx,CA,18.53,1,Jan-01,1,16,0,23932,0.638,22,0,10.78296703
78,4000,36 months,10.99,10+ years,MORTGAGE,40000,Not Verified,Aug-11,other,481xx,MI,12.27,0,Oct-88,0,8,0,12341,0.198,15,0,22.90934066
79,29550,36 months,8.9,2 years,RENT,148616,Verified,Oct-11,debt_consolidation,346xx,FL,22.86,0,Nov-96,0,8,0,21970,0.429,24,0,14.96428571
80,1375,36 months,6.91,< 1 year,RENT,37500,Not Verified,Dec-10,credit_card,229xx,VA,12.03,0,Sep-04,0,5,0,6768,0.342,6,0,6.269230769
81,4400,36 months,7.9,4 years,MORTGAGE,95000,Not Verified,Dec-11,debt_consolidation,080xx,NJ,1.09,0,May-00,0,5,0,2813,0.541,15,0,11.62362637
82,15000,36 months,15.95,7 years,MORTGAGE,54000,Verified,Nov-10,debt_consolidation,956xx,CA,9.13,0,Jun-03,4,11,0,14440,0.862,19,1,7.445054945
83,6000,36 months,7.29,2 years,RENT,65004,Source Verified,Feb-11,debt_consolidation,775xx,TX,12.55,1,Aug-03,0,13,0,1694,0.12,30,0,7.53021978
84,25000,60 months,13.72,3 years,OWN,1.00E+05,Verified,Nov-10,small_business,750xx,TX,21.1,0,Dec-93,0,6,0,17557,0.878,32,1,16.97527473
85,3500,36 months,14.84,10+ years,MORTGAGE,96000,Verified,Oct-10,medical,208xx,MD,20.4,1,Jun-98,1,7,0,13537,0.756,31,1,12.37637363
86,2525,36 months,13.12,< 1 year,MORTGAGE,40000,Not Verified,Oct-07,home_improvement,846xx,UT,20.67,1,May-93,3,13,0,17641,0.305,24,0,14.46703297
87,25000,36 months,13.75,5 years,RENT,75000,Not Verified,Jan-08,home_improvement,329xx,FL,19.78,0,May-01,2,8,0,12308,0.436,12,1,6.692307692
88,14000,60 months,20.25,5 years,RENT,42744,Not Verified,Aug-11,credit_card,573xx,SD,20.58,0,Aug-00,1,19,0,17735,0.493,53,1,11.03571429
89,6500,36 months,11.03,< 1 year,RENT,55000,Not Verified,May-08,debt_consolidation,971xx,OR,11.76,1,Aug-01,1,7,0,6565,0.266,12,0,6.771978022
90,2800,60 months,10.74,5 years,MORTGAGE,61200,Source Verified,Apr-11,car,283xx,NC,20.2,0,Jun-94,0,10,0,18965,0.729,20,0,16.89010989
91,21600,36 months,12.99,10+ years,MORTGAGE,280000,Verified,Aug-11,debt_consolidation,926xx,CA,6.12,1,May-88,1,7,0,53936,0,16,0,23.32967033
92,2200,36 months,13.23,< 1 year,RENT,12000,Source Verified,Jun-10,major_purchase,658xx,MO,4.8,1,Sep-04,0,6,0,2781,0.234,13,0,5.766483516
93,3600,36 months,12.69,10+ years,MORTGAGE,60000,Not Verified,Dec-11,medical,488xx,MI,19,0,Aug-01,3,10,1,1104,0.13,17,1,10.36813187
94,25000,36 months,12.69,6 years,RENT,92000,Verified,Oct-11,debt_consolidation,018xx,MA,19.06,0,Dec-91,0,13,0,27367,0.704,22,0,19.9010989
95,10000,36 months,13.79,< 1 year,RENT,40000,Not Verified,Dec-08,debt_consolidation,852xx,AZ,21.63,0,Sep-88,3,13,1,15615,0.877,19,1,20.31868132
96,20050,60 months,11.49,< 1 year,MORTGAGE,63000,Verified,Sep-11,debt_consolidation,786xx,TX,24.34,0,Apr-01,1,6,0,38186,0.408,24,0,10.4532967
97,18000,36 months,12.18,2 years,RENT,101500,Not Verified,Dec-09,debt_consolidation,944xx,CA,9.28,0,Oct-95,0,6,1,10433,0.458,27,0,14.21703297
98,11800,36 months,13.99,5 years,RENT,94000,Verified,Jul-11,debt_consolidation,100xx,NY,4.6,0,Apr-90,1,10,0,2935,0.427,41,0,21.32142857
99,5500,36 months,6.92,3 years,RENT,45000,Not Verified,Jan-11,debt_consolidation,906xx,CA,16.83,0,Nov-02,0,10,0,4241,0.307,20,0,8.195054945
100,4000,36 months,7.51,7 years,MORTGAGE,80000,Source Verified,Jul-10,debt_consolidation,200xx,DC,21.27,1,Jun-93,0,15,0,8264,0.161,31,0,17.14010989
101,4800,36 months,13.35,2 years,RENT,26085.36,Not Verified,Dec-10,debt_consolidation,760xx,TX,14.72,0,Feb-07,0,3,0,5557,0.772,4,0,3.843406593
102,3000,36 months,11.36,10+ years,RENT,108000,Verified,Mar-10,other,830xx,WY,18.04,0,Jan-94,0,24,0,24434,0.566,61,0,16.21703297
103,5200,60 months,15.23,10+ years,MORTGAGE,72000,Verified,May-11,car,775xx,TX,10.83,0,Dec-97,1,7,0,27997,0.838,12,1,13.45879121
104,21000,60 months,15.23,7 years,MORTGAGE,90000,Verified,Aug-11,debt_consolidation,727xx,AR,14.97,0,Oct-00,1,10,0,11071,0.517,28,0,10.86813187
105,8000,36 months,14.26,< 1 year,RENT,88500,Not Verified,Nov-09,other,200xx,DC,11.61,0,Sep-02,0,13,0,15514,0.772,38,1,7.192307692
106,1800,36 months,10.71,10+ years,MORTGAGE,123000,Not Verified,Apr-08,credit_card,937xx,CA,11.55,0,Sep-94,6,13,0,15853,0.634,36,0,13.62912088
107,6000,36 months,9.32,3 years,MORTGAGE,52000,Source Verified,May-09,other,606xx,IL,12.48,0,Jan-00,0,12,0,9608,0.268,24,0,9.362637363
108,5000,36 months,7.88,< 1 year,RENT,45000,Source Verified,Sep-10,debt_consolidation,117xx,NY,4.88,0,Nov-99,2,8,0,6621,0.173,10,0,10.87087912
109,12000,36 months,7.88,2 years,RENT,110000,Not Verified,Aug-10,debt_consolidation,941xx,CA,7.04,0,Jan-01,0,7,0,10667,0.51,16,0,9.612637363
110,5000,60 months,18.3,4 years,RENT,72000,Source Verified,Oct-10,home_improvement,951xx,CA,2.33,0,Oct-06,0,6,0,6610,0.306,8,0,4.013736264
111,25000,36 months,14.42,8 years,OWN,3.00E+05,Verified,Jun-09,home_improvement,113xx,NY,1.48,1,Dec-94,2,9,0,28367,0.665,15,0,14.54945055
112,20000,36 months,15.65,1 year,RENT,60000,Not Verified,Nov-09,small_business,981xx,WA,20.74,0,Jun-91,3,5,0,24030,0.829,11,0,18.48351648
113,1500,36 months,10.74,6 years,RENT,80000,Source Verified,Mar-11,vacation,926xx,CA,21.64,0,Dec-98,1,5,0,35627,0.953,20,0,12.28846154
114,15250,36 months,12.53,2 years,MORTGAGE,52000,Verified,Sep-09,home_improvement,233xx,VA,10.96,0,Jul-92,0,12,0,2652,0.039,23,1,17.22802198
115,20000,36 months,13.72,10+ years,MORTGAGE,79000,Verified,Nov-10,debt_consolidation,233xx,VA,14.16,0,Jun-98,1,14,0,7852,0.31,34,0,12.46153846
116,10000,36 months,8.59,< 1 year,OWN,150000,Not Verified,Nov-09,debt_consolidation,302xx,GA,4.14,0,Dec-92,2,19,0,82445,0.167,32,0,16.97527473
117,4000,36 months,5.42,1 year,MORTGAGE,90000,Not Verified,May-11,home_improvement,015xx,MA,6.15,0,Sep-98,0,6,0,1165,0.216,25,0,12.70604396
118,13000,36 months,8.9,10+ years,MORTGAGE,60000,Source Verified,Oct-11,debt_consolidation,538xx,WI,18.53,0,Oct-91,2,18,0,10988,0.235,30,0,20.06868132
119,14400,36 months,10.37,9 years,RENT,81380,Verified,Feb-11,debt_consolidation,662xx,KS,9.36,0,Oct-97,0,10,0,19977,0.394,17,0,13.38186813
120,25000,36 months,10.75,3 years,MORTGAGE,1.00E+05,Verified,Jun-10,other,190xx,PA,8.7,0,Nov-93,1,15,0,22638,0.231,33,0,16.63736264
121,3600,36 months,16.49,1 year,RENT,24216,Not Verified,Aug-11,debt_consolidation,490xx,MI,23.59,0,Jul-07,1,7,0,5595,0.965,11,0,4.098901099
122,20000,36 months,17.14,2 years,RENT,75000,Verified,Mar-11,debt_consolidation,953xx,CA,18.03,0,Jul-03,0,8,0,22402,0.585,12,0,7.692307692
123,10000,36 months,12.42,1 year,RENT,42000,Source Verified,Nov-11,debt_consolidation,363xx,AL,23.71,0,Oct-02,0,7,0,9784,0.894,19,0,9.115384615
124,12000,36 months,7.51,< 1 year,RENT,83000,Source Verified,Dec-11,debt_consolidation,100xx,NY,8.36,0,Jul-01,1,9,0,18692,0.827,36,1,10.4532967
125,5000,60 months,16.45,6 years,RENT,32000,Source Verified,Jun-10,debt_consolidation,606xx,IL,16.88,1,Aug-02,1,9,0,2919,0.531,16,0,7.85989011
126,3800,36 months,6.03,4 years,OWN,90000,Verified,Dec-11,other,087xx,NJ,21.32,0,Aug-96,0,7,0,0,0,28,0,15.38461538
127,1500,36 months,13.48,3 years,OWN,48000,Not Verified,Apr-10,other,290xx,SC,0.63,0,Sep-02,1,2,0,238,0.476,4,1,7.607142857
128,12000,36 months,8.94,7 years,MORTGAGE,35088,Not Verified,Sep-09,debt_consolidation,551xx,MN,11.01,0,Mar-86,0,7,0,13819,0.369,18,0,23.58516484
129,5000,60 months,7.29,8 years,MORTGAGE,61200,Not Verified,Feb-11,car,151xx,PA,4.92,0,Jun-90,0,12,0,8486,0.108,28,0,20.74175824
130,26000,60 months,12.69,10+ years,RENT,49000,Verified,Dec-11,debt_consolidation,952xx,CA,21.92,0,Jan-91,0,15,0,27828,0.597,24,1,20.98626374
131,16250,60 months,11.49,6 years,RENT,63600,Verified,Jun-11,debt_consolidation,117xx,NY,29.36,0,Oct-99,4,10,0,13049,0.273,37,0,11.70604396
132,25000,60 months,12.98,3 years,MORTGAGE,85000,Verified,Jan-11,medical,107xx,NY,17,0,May-00,0,10,0,91266,0.245,18,0,10.70604396
133,1200,36 months,10.28,< 1 year,RENT,4000,Not Verified,Jul-07,educational,324xx,FL,8.1,0,Jun-06,1,3,0,900,0.375,3,0,1.085164835
134,35000,60 months,18.39,10+ years,MORTGAGE,53000,Verified,Aug-11,small_business,368xx,AL,10.19,0,Jul-99,0,9,0,36328,0.934,20,1,12.12637363
135,11400,36 months,13.79,10+ years,MORTGAGE,63000,Verified,May-09,credit_card,445xx,OH,20.11,0,May-98,1,11,0,18212,0.564,37,0,11.03846154
136,13000,36 months,7.88,2 years,MORTGAGE,37000,Verified,Sep-10,debt_consolidation,325xx,FL,19.39,0,Oct-98,0,10,0,14033,0.564,15,0,11.95879121
137,12600,60 months,10.65,10+ years,MORTGAGE,55172,Not Verified,Nov-11,debt_consolidation,448xx,OH,19.36,0,Dec-95,0,22,0,23020,0.305,59,0,15.97252747
138,12800,36 months,12.42,4 years,RENT,38000,Not Verified,Nov-11,credit_card,770xx,TX,22.58,0,Oct-04,2,7,0,7829,0.932,14,1,7.107142857
139,10000,36 months,13.22,10+ years,MORTGAGE,156000,Not Verified,Jan-10,credit_card,995xx,AK,14.57,2,Jul-91,1,10,0,4027,0.174,31,0,18.56868132
140,7000,60 months,15.57,4 years,MORTGAGE,50000,Not Verified,Oct-10,debt_consolidation,176xx,PA,20.28,0,Apr-06,0,8,0,8067,0.849,13,0,4.516483516
141,20000,60 months,11.99,10+ years,MORTGAGE,39000,Verified,Aug-11,home_improvement,134xx,NY,15.35,0,May-01,0,5,0,0,0,11,0,10.28571429
142,5125,36 months,10.71,10+ years,MORTGAGE,65000,Not Verified,May-08,credit_card,955xx,CA,6.77,0,Jan-99,2,6,0,11817,0.945,9,0,9.362637363
143,4000,36 months,9.63,n/a,MORTGAGE,35000,Source Verified,Apr-11,home_improvement,347xx,FL,1.37,0,Dec-97,2,6,1,1180,0.084,12,0,13.37637363
144,3500,60 months,17.99,10+ years,MORTGAGE,116004,Not Verified,May-11,other,294xx,SC,19.2,0,Dec-89,1,17,0,31157,0.946,43,1,21.48626374
145,12000,36 months,16.95,10+ years,MORTGAGE,90000,Verified,Feb-09,debt_consolidation,038xx,NH,16.53,0,Jul-05,3,7,0,15534,0.873,10,0,3.601648352
146,20000,60 months,18.3,10+ years,MORTGAGE,74276.8,Not Verified,Sep-10,credit_card,982xx,WA,3.55,0,Jul-95,0,3,1,8542,0.678,17,0,15.22252747
147,5600,36 months,7.51,10+ years,RENT,43000,Source Verified,Dec-11,debt_consolidation,852xx,AZ,20.51,0,Sep-98,2,9,0,8514,0.348,26,0,13.29395604
148,25000,60 months,18.3,3 years,MORTGAGE,137496,Source Verified,Aug-10,debt_consolidation,770xx,TX,13.02,0,Jul-93,0,8,0,38090,0.936,14,0,17.14285714
149,10000,60 months,13.23,< 1 year,RENT,42840,Source Verified,Aug-10,other,981xx,WA,11.09,0,Nov-93,0,5,0,18951,0.907,17,0,16.80494505
150,14400,36 months,7.66,9 years,MORTGAGE,90000,Source Verified,Mar-11,car,720xx,AR,12.23,0,Nov-04,0,8,0,29518,0.513,19,0,6.348901099
151,12000,36 months,14.59,8 years,MORTGAGE,124000,Not Verified,Jan-10,credit_card,086xx,NJ,15.36,2,Mar-89,0,16,0,30232,0.673,29,0,20.90934066
152,6500,36 months,7.74,2 years,RENT,18000,Not Verified,Jan-10,debt_consolidation,038xx,NH,18,0,Oct-98,0,5,0,2816,0.132,12,0,11.29120879
153,19000,36 months,11.99,4 years,MORTGAGE,105000,Not Verified,Jun-11,debt_consolidation,087xx,NJ,9.99,0,Dec-88,0,7,0,17225,0.738,34,0,22.57417582
154,15000,36 months,11.89,2 years,RENT,70000,Verified,Feb-09,debt_consolidation,940xx,CA,6.19,0,Sep-01,0,7,0,16476,0.431,18,0,7.445054945
155,2000,36 months,7.37,< 1 year,OWN,98000,Not Verified,Apr-08,other,796xx,TX,0,0,Aug-90,0,9,0,5235,0.051,22,0,17.72802198
156,3500,36 months,14.27,< 1 year,RENT,34000,Not Verified,Nov-11,debt_consolidation,948xx,CA,20.19,0,Dec-01,0,9,0,11097,0.702,14,0,9.950549451
157,3000,36 months,13.35,10+ years,MORTGAGE,112500,Source Verified,Dec-10,wedding,272xx,NC,11.84,0,Sep-98,0,8,0,16398,0.828,27,0,12.29120879
158,5000,36 months,11.86,2 years,RENT,67596,Not Verified,Jul-10,other,908xx,CA,9.55,0,Jun-06,0,4,0,5257,0.449,6,0,4.096153846
159,22000,60 months,17.27,10+ years,RENT,84000,Verified,Dec-11,debt_consolidation,028xx,RI,13.8,0,Jul-96,1,11,0,20579,0.583,36,0,15.46978022
160,35000,60 months,21.36,9 years,MORTGAGE,254616,Source Verified,Aug-11,debt_consolidation,780xx,TX,12.56,1,Jan-89,3,17,0,35860,0.614,63,1,22.65659341
161,10000,36 months,7.29,n/a,RENT,50000,Not Verified,Apr-11,debt_consolidation,968xx,HI,5.66,0,Oct-01,0,12,0,8613,0.296,20,0,9.53021978
